rain_ord,sol_ord,ban_num,mnt_pente_mean,mnt_tpi_mean,mnt_tri_mean,mnt_rugosite_mean,mnt_ombrage_mean,mnt_exposition_mean,ANNEE,log_5b,log_chl,contamine,Taux_Chlordecone_clean,Taux_5b_hydro_clean,COMMU_LAB,Sol_simple,RAIN,histoBanane_cat,X,Y,ANNEE,ID,chl_censure
3,4,2,39.0430977105116,5.80596654387342,8.03336670274589,21.5936581083027,131.17399787241,79.4479539604314,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,2,714300.831892472,1626343.53080859,2010,20143,0
3,4,2,38.1236748407929,5.68358933568723,7.92056328601291,20.9449008890161,134.60820484715,76.9856900365996,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,2,714303.743345445,1626353.97292304,2010,20143,0
3,4,3,34.9766780118553,2.23945739729383,7.10843228093433,20.0858826750436,139.420522500973,76.0647190671775,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,3,714309.446764917,1626360.35664748,2010,20143,0
3,4,1,38.3157964173756,4.03837300388936,7.53009037347207,23.4277306104415,121.603678173965,92.3924537305068,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,1,714294.208512091,1626321.33685118,2010,20143,0
3,4,2,33.8777270282093,0.596501743870165,6.63708153021654,20.1537704096056,134.065066436233,83.9306106297092,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,2,714303.823058143,1626340.58437314,2010,20143,0
3,4,3,38.4512672424316,6.0,8.0,21.0,134.0,77.228759765625,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,3,714308.093484703,1626359.44075878,2010,20143,0
3,4,2,29.4911319216434,-4.93623044894714,5.50701671678389,16.6119292773515,141.675174031719,80.4765144698053,2010,0.0676586484738148,1.7227665977411035,1,4.6,0.07,GROS-MORNE,Andosol,2000-3000,2,714325.596772332,1626347.65604115,2010,20143,0
2,3,1,8.39658975248898,-1.50251702791792,2.04334468527861,4.91834468527861,194.510068111672,320.787824120476,2010,6.215607598755275,0.0016486402455244,0,0.00165,499.5,DUCOS,Ferralsol,1500-2000,1,719199.795164743,1609605.98317531,2010,20462,1
3,2,1,13.9173341966852,1.0082371814648,2.76181147475958,9.1674320619838,157.619370818606,103.324025285545,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714409.68946011,1634402.50965614,2012,21513,1
3,2,1,18.475084331683,2.64555520959016,4.01185147705601,11.7214805589071,147.440003113689,124.606221121793,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714407.095535717,1634389.09752052,2012,21513,1
3,2,2,25.059928894043,4.25,5.75,16.0,133.0,151.389541625977,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,2,714406.254679134,1634386.28110967,2012,21513,1
3,1,1,19.5388097763062,-0.25,3.75,11.5,148.0,166.582977294922,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,"Alluvium, Colluvium",2000-3000,1,714489.577534826,1634371.70966981,2012,21513,1
3,1,2,8.0,-2.0,2.0,5.0,170.0,180.0,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,"Alluvium, Colluvium",2000-3000,2,714519.141599843,1634351.2642681,2012,21513,1
3,1,2,29.2402156147527,-1.34802686775668,5.65341089278552,17.4365887295047,129.770377625859,163.859778740367,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,"Alluvium, Colluvium",2000-3000,2,714399.060155932,1634352.53114596,2012,21513,1
3,2,1,15.0382929747851,0.196648070115884,3.07982003655354,10.3071579501485,154.85143176222,107.715402570743,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714413.180976323,1634407.89404635,2012,21513,1
3,2,1,13.9403811560737,-0.277777777777778,3.02777777777778,9.33333333333333,155.111111111111,140.046704610189,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714461.374683914,1634408.32111721,2012,21513,1
3,2,2,12.71038357242,-2.55566187119054,3.01692805724865,8.56771222899459,157.013007198519,147.367139966101,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,2,714518.916432463,1634434.78955673,2012,21513,1
3,2,3,12.3495922708898,-2.65171236218168,2.97423895014148,8.39695580056591,157.610654698019,146.84153294038,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,3,714520.421159136,1634435.49032341,2012,21513,1
3,2,1,18.2402609364568,0.301106628565025,3.77400263349583,11.003798957808,147.544853476775,152.138301479801,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714475.199121491,1634383.07761258,2012,21513,1
3,2,2,28.7850729487682,-1.21359803545497,5.57148704003069,17.2436090637587,130.158971970299,162.080773321985,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,2,714401.484722896,1634357.43545789,2012,21513,1
3,2,1,25.5554723193469,2.22522287124866,5.27316308954486,15.6663308842995,130.703617952684,138.676337423839,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,1,714419.463008846,1634377.60450508,2012,21513,1
3,2,2,27.7671029603418,1.47269159271377,5.727466924008,16.4609018174637,131.113563715384,158.517321538296,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINTE-MARIE,Nitisol,2000-3000,2,714397.276357176,1634365.38713459,2012,21513,1
3,-1,1,24.1183524121119,2.34703700965554,5.15122005484772,15.8111547871791,138.986056516026,164.123371878646,2012,0.0198026272961797,0.5306282510621704,1,0.7,0.02,LORRAIN(LE),No data,2000-3000,1,705157.981988554,1638308.90374348,2012,21441,1
4,-1,1,24.1183524121119,2.34703700965554,5.15122005484772,15.8111547871791,138.986056516026,164.123371878646,2012,0.0198026272961797,0.5306282510621704,1,0.7,0.02,LORRAIN(LE),No data,3000-5000,1,705157.981988554,1638308.90374348,2012,21441,1
3,-1,1,25.3597980608148,1.93707203485685,5.32002916211777,17.3545523393625,137.056809575797,165.518263692924,2012,0.0198026272961797,0.5306282510621704,1,0.7,0.02,LORRAIN(LE),No data,2000-3000,1,705154.733955876,1638306.23993343,2012,21441,1
4,-1,1,25.3597980608148,1.93707203485685,5.32002916211777,17.3545523393625,137.056809575797,165.518263692924,2012,0.0198026272961797,0.5306282510621704,1,0.7,0.02,LORRAIN(LE),No data,3000-5000,1,705154.733955876,1638306.23993343,2012,21441,1
3,3,1,17.7341480255127,-2.625,3.625,10.0,207.0,338.498565673828,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,1,720305.296183436,1626740.79960135,2012,21476,1
3,3,1,17.7341480255127,-2.625,3.625,10.0,207.0,338.498565673828,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,1,720305.331573859,1626740.40393698,2012,21476,1
3,4,1,29.0971823701002,-4.38810842896716,6.52958053027305,20.0617332805698,173.670755836961,224.759918804644,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LORRAIN(LE),Andosol,2000-3000,1,705125.984796358,1638440.67943027,2012,21440,1
4,4,1,29.0971823701002,-4.38810842896716,6.52958053027305,20.0617332805698,173.670755836961,224.759918804644,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LORRAIN(LE),Andosol,3000-5000,1,705125.984796358,1638440.67943027,2012,21440,1
3,4,1,30.5216712138016,-2.88165386739605,6.92783863275737,20.8928806248849,169.237970000614,221.527580492181,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LORRAIN(LE),Andosol,2000-3000,1,705129.592861436,1638446.64406048,2012,21440,1
4,4,1,30.5216712138016,-2.88165386739605,6.92783863275737,20.8928806248849,169.237970000614,221.527580492181,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,LORRAIN(LE),Andosol,3000-5000,1,705129.592861436,1638446.64406048,2012,21440,1
2,1,1,33.2415390014648,2.375,6.625,20.0,122.0,105.708641052246,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,VAUCLIN(LE),Vertisol,1500-2000,1,728823.74212496,1611811.82747209,2012,21460,1
2,1,1,33.1405403416652,2.04529385857697,6.54846577649933,21.1208728486381,120.274856972645,113.322922939989,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,VAUCLIN(LE),Vertisol,1500-2000,1,728816.370573355,1611794.71700655,2012,21460,1
3,1,1,33.2415390014648,2.375,6.625,20.0,122.0,105.708641052246,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,VAUCLIN(LE),Vertisol,2000-3000,1,728823.74212496,1611811.82747209,2012,21460,1
3,1,1,33.1405403416652,2.04529385857697,6.54846577649933,21.1208728486381,120.274856972645,113.322922939989,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,VAUCLIN(LE),Vertisol,2000-3000,1,728816.370573355,1611794.71700655,2012,21460,1
2,1,1,30.8402522818116,-3.25175231624032,8.13554243961169,21.1835520989739,129.988555454841,168.819655126275,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,1,722036.124111941,1618314.61757777,2012,21535,1
2,1,1,52.3135723444283,1.44137382846773,10.7294771517849,29.7948411847493,94.2760662359929,168.038352980414,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,1,721999.67806963,1618290.2681665,2012,21535,1
2,1,2,39.8014501804794,5.9311916795419,9.10039436497721,23.2350078191464,109.1841749743,161.024835826659,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,2,721999.815971719,1618307.32257867,2012,21535,1
2,1,1,69.5018005371094,-2.5,13.0,36.0,77.0,180.412200927734,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,1,721972.924443205,1618265.897821,2012,21535,1
2,1,2,34.6770820617676,0.125,6.375,25.0,229.0,317.337310791016,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,2,726984.376535131,1611598.10769192,2012,21416,1
2,1,3,34.6770820617676,0.125,6.375,25.0,229.0,317.337310791016,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,3,726967.162026526,1611603.12863441,2012,21416,1
2,1,3,32.027987773954,-0.329995060161219,5.97687932235893,22.7250246991939,225.587537048791,312.738219945327,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,3,726976.686806193,1611607.04492143,2012,21416,1
3,1,2,34.6770820617676,0.125,6.375,25.0,229.0,317.337310791016,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,2000-3000,2,726984.376535131,1611598.10769192,2012,21416,1
